iter	Passed	Remaining
0	11	1132
1	21	1061
2	34	1108
3	43	1053
4	54	1026
5	64	1005
6	73	982
7	83	964
8	93	948
9	103	928
10	112	912
11	121	892
12	130	873
13	138	849
14	146	828
15	155	817
16	163	797
17	171	779
18	178	759
19	186	745
20	193	728
21	201	714
22	208	697
23	216	685
24	223	671
25	231	659
26	239	646
27	246	634
28	253	621
29	261	609
30	267	596
31	275	585
32	282	573
33	289	562
34	296	550
35	303	539
36	310	528
37	317	518
38	324	507
39	331	496
40	341	490
41	348	481
42	355	471
43	363	463
44	372	454
45	380	446
46	388	437
47	398	431
48	406	423
49	416	416
50	424	407
51	433	400
52	443	393
53	451	384
54	460	376
55	468	367
56	477	360
57	487	352
58	496	344
59	505	336
60	514	328
61	523	320
62	532	312
63	540	303
64	547	294
65	554	285
66	561	276
67	568	267
68	576	258
69	583	250
70	590	241
71	597	232
72	604	223
73	611	214
74	618	206
75	627	198
76	634	189
77	643	181
78	651	173
79	661	165
80	670	157
81	678	148
82	685	140
83	692	131
84	699	123
85	706	115
86	713	106
87	721	98
88	730	90
89	737	81
90	744	73
91	755	65
92	762	57
93	770	49
94	778	40
95	786	32
96	794	24
97	801	16
98	809	8
99	817	0
